last_name, first_name,player_id,oaa,n_fieldout_5stars,n_opp_5stars,n_5star_percent,n_fieldout_4stars,n_opp_4stars,n_4star_percent,n_fieldout_3stars,n_opp_3stars,n_3star_percent,n_fieldout_2stars,n_opp_2stars,n_2star_percent,n_fieldout_1stars,n_opp_1stars,n_1star_percent
Span, Denard,452655,-4,0,25,0.0,1,5,20.0,11,20,55.0,13,15,86.7,10,12,83.3
Brantley, Michael,488726,-5,0,19,0.0,1,11,9.1,5,7,71.4,14,16,87.5,25,28,89.3
Puig, Yasiel,624577,-5,0,17,0.0,2,8,25.0,5,12,41.7,8,12,66.7,12,12,100.0
Upton, Justin,457708,-6,0,21,0.0,0,9,0.0,15,23,65.2,17,22,77.3,21,23,91.3
Kemp, Matt,461314,-6,0,8,0.0,0,12,0.0,4,8,50.0,8,9,88.9,9,9,100.0
Haniger, Mitch,571745,-6,1,20,5.0,6,16,37.5,10,23,43.5,25,30,83.3,24,25,96.0
Soto, Juan,665742,-6,0,22,0.0,1,6,16.7,8,15,53.3,15,20,75.0,17,18,94.4
Eaton, Adam,594809,-6,0,16,0.0,1,9,11.1,4,6,66.7,11,12,91.7,6,7,85.7
Happ, Ian,664023,-7,0,9,0.0,1,7,14.3,5,12,41.7,18,21,85.7,12,13,92.3
Hernandez, Teoscar,606192,-7,1,24,4.2,1,5,20.0,11,17,64.7,8,11,72.7,14,18,77.8
Pederson, Joc,592626,-7,0,10,0.0,1,11,9.1,5,10,50.0,13,17,76.5,7,8,87.5
Mazara, Nomar,608577,-8,0,26,0.0,1,11,9.1,4,11,36.4,19,22,86.4,15,18,83.3
Schwarber, Kyle,656941,-8,0,19,0.0,0,8,0.0,1,9,11.1,16,20,80.0,15,16,93.8
Williams, Nick,608384,-8,0,17,0.0,1,8,12.5,2,6,33.3,11,14,78.6,12,14,85.7
Blackmon, Charlie,453568,-8,0,31,0.0,1,12,8.3,9,18,50.0,17,18,94.4,20,21,95.2
Mancini, Trey,641820,-10,1,15,6.7,3,12,25.0,7,15,46.7,8,14,57.1,15,18,83.3
McCutchen, Andrew,457705,-10,1,27,3.7,1,16,6.3,14,21,66.7,13,17,76.5,20,23,87.0
Dietrich, Derek,518618,-11,0,12,0.0,0,6,0.0,1,8,12.5,6,9,66.7,5,6,83.3
Harper, Bryce,547180,-13,0,18,0.0,1,5,20.0,5,15,33.3,11,16,68.8,15,20,75.0
Jones, Adam,430945,-14,0,30,0.0,1,19,5.3,4,13,30.8,22,24,91.7,23,28,82.1
Hoskins, Rhys,656555,-18,0,15,0.0,0,10,0.0,1,12,8.3,15,21,71.4,18,21,85.7
Castellanos, Nicholas,592206,-24,0,29,0.0,0,14,0.0,2,14,14.3,13,20,65.0,11,15,73.3
